Время запроса,Имя пользователя,Введенный текст,Ответ бота,Статус
2025-07-27 15:13:58,sky820,5,5.0,success
2025-07-27 15:13:57,sky820,5,5.0,success
2025-07-27 15:13:57,sky820,5,5.0,success
2025-07-27 15:13:56,sky820,5,5.0,success
2025-07-27 15:13:56,sky820,5,5.0,success
2025-07-27 15:13:55,sky820,5,5.0,success
2025-07-27 15:13:53,sky820,55,55.0,success
2025-07-27 15:13:53,sky820,5,5.0,success
2025-07-27 15:13:53,sky820,5,5.0,success
2025-07-27 15:13:52,sky820,5,5.0,success
2025-07-27 15:13:52,sky820,5,5.0,success
2025-07-27 15:13:52,sky820,55,55.0,success
2025-07-27 15:13:51,sky820,5,5.0,success
2025-07-27 15:13:51,sky820,5,5.0,success
2025-07-27 15:13:51,sky820,55,55.0,success
2025-07-27 15:13:50,sky820,5,5.0,success
2025-07-27 15:13:50,sky820,5,5.0,success
2025-07-27 15:13:50,sky820,5,5.0,success
2025-07-27 15:13:49,sky820,5,5.0,success
2025-07-27 15:13:48,sky820,5,5.0,success
